INTEREST_CODE,SHORT_DESC,INTEREST_GROUP_CODE
ACA,Academic Administration,EDU
ACC,Accounting,BUS
ACO,Art Collections,ART
ACS,Academic Support,ESC
ADL,Administrative Law,LAW
ADR,Alternative Dispute Resolution Law,LAW
ADV,Advertising,BUS
AER,Aeronautics,SCE
AFC,African Interests,DIV
AFI,African-American Interests,DIV
AGE,Aging,HEA
AGL,Agricultural Law,LAW
AGR,Agriculture,ENV
AID,Financial Aid,ESC
AIN,Artificial Intelligence,TEC
ALT,Alternative Energy,ENV
ALU,Alumni Affairs,EDU
ALZ,Alzheimer's Disease,HEA
AML,Admiralty & Maritime Law,LAW
ANI,Animal Causes,ANI
ANM,Animation,ART
ANT,Antiques,HOB
APP,Appellate Practice Law,LAW
AQU,Aquatic Sports,ATH
ARC,Archaeology/Anthropology,SCE
ARH,Architecture,ARH
ARM,Armenian Interests,DIV
ART,Arts,ART
ASA,Asian Art,ART
ASB,Asian Business,BUS
ASC,Asian Interests,DIV
ASN,Asian American Interests,DIV
AST,Astronomy,SCE
ATH,Athletics,ATH
ATM,Autism,HEA
ATR,Antitrust & Trade Regulation Law,LAW
AUT,Automobiles,HOB
AVA,Aviation & Aerospace Law,LAW
BAC,Backpacking,ATH
BAD,Badminton,ATH
BAK,Baking,FOD
BAL,Ballet,ART
BAN,Band/Music,HOB
BAS,Baseball,ATH
BAT,Basketball,ATH
BCL,Business & Corporate Law,LAW
BFL,Banking & Finance Law,LAW
BIC,Cycling,ATH
BIO,Biology,SCE
BIR,Bird Watching,HOB
BKG,Banking,BUS
BLK,Blockchain,TEC
BND,Basic Needs,CIV
BNK,Bankruptcy Law,LAW
BOA,Boating,ATH
BOT,Botany,SCE
BOX,Boxing,ATH
BRG,Bridge,HOB
BTC,Biotechnology,TEC
BUD,Buddhism,REL
BUS,Business,BUS
CAC,Class Action Law,LAW
CAL,California History,HIS
CAM,Camping,ATH
CAN,Cannabis,CAN
CAO,Catholic Church/Roman Catholic,REL
CAT,Cattle Ranching,ENV
CHC,Chinese Interests,DIV
CHE,Chemistry/Chemical Engineering,SCE
CHR,Christianity,REL
CIV,Civic Affairs,CIV
CJR,Criminal Justice Reform,CIV
CKG,Cooking,FOD
CLA,Classical Music,ART
CLE,Climate Economics,ECO
CLI,Climate,ENV
CLL,Climate Law,LAW
CLM,Climbing/Mountaineering,ATH
CLT,Clean Technology,ENV
CML,Commercial Law,LAW
CMM,Common Law,LAW
CMN,Communications Law,LAW
CMP,Compliance Law,LAW
CNC,Cancer,HEA
CNT,Contemporary Music,ART
COM,Computers,TEC
CON,Consulting,BUS
COR,Corporate Social Responsibility,BUS
CRE,Crew/Rowing,ATH
CRL,Civil Rights Law,LAW
CRM,Criminal Law,LAW
CRP,Cryptocurrency,BUS
CSL,Construction Law,LAW
CSR,Consumer Law,LAW
CST,Constitutional Law,LAW
CTR,Contract Law,LAW
CVL,Civil Liberties,CIV
CVR,Civil Rights,CIV
CYB,Cybersecurity,TEC
DAN,Dance,ART
DAT,Data Science,TEC
DBT,Debtor & Creditor Law,LAW
DEI,Diversity/Equity/Inclusion,DEI
DEM,Democratic Politics,CIV
DHR,Disaster & Humanitarian Relief,CIV
DIS,Disabilities,DIV
DIV,Diverse Constituencies,DIV
DRA,Dramatic Arts,ART
DSL,Distance Learning/Online Education,EDU
EAP,Economic Analysis & Policy,ECO
EAR,Early Music,ART
ECM,E-Commerce,BUS
ECO,Economics,ECO
ECP,Election Campaign & Political Law,LAW
EDL,Education Law,LAW
EDU,Education,EDU
EGL,Energy Law,LAW
EGR,Engineering,SCE
EHL,Internet-Related e-Health,HEA
EIP,East Indian/Pakistani Interest,DIV
EJL,Environmental Justice Law,LAW
ELD,Elder Law,LAW
EMD,Eminent Domain Law,LAW
EMP,Employee Benefits Law,LAW
ENE,Energy,ENV
ENG,English History,HIS
ENR,Entrepreneurship,BUS
ENT,Entertainment,ENT
ENV,Environment,ENV
EPI,Episcopalian Church,REL
ESC,Endowments/Scholarships,ESC
ESF,Endowments/Fellowships,ESF
ETH,Ethics,PHI
ETL,Entertainment Law,LAW
EVL,Environmental Law,LAW
FAM,Family,FAM
FAS,Fashion/Textiles,FAS
FBK,Food Banks,CIV
FGC,First Generation College,DEI
FIL,Film,ART
FIN,Finance,BUS
FIS,Fishing,ATH
FLT,Financial Literacy,EDU
FLW,Flower Arranging,HOB
FLY,Flying/Airplane Ownership,ATH
FML,Family Law,LAW
FOD,Food,FOD
FOL,Folk Dance,ART
FOO,Football,ATH
FOR,Forestry,ENV
FRC,French Interests,DIV
FRE,Free Speech,CIV
FTK,FinTech,BUS
GAM,Gaming,GAM
GAR,Gardening,HOB
GCU,Greek Interests,DIV
GEC,German Interests,DIV
GEN,Genealogy,SCE
GEO,Geology,SCE
GER,Gerontology,HEA
GLB,Global Health,HEA
GLO,Global Management,BUS
GOL,Golf,ATH
GOV,Government Law,LAW
GPR,General Practice Law,LAW
GRA,Graphics,ART
GRC,Grandchildren,FAM
GUN,Gun Violence Prevention,CIV
GVC,Government Contracts Law,LAW
HAC,Hawaiian Interests,DIV
HAN,Hang Gliding,ATH
HCR,Health Care Law,LAW
HEA,Health,HEA
HIK,Hiking,ATH
HIN,Hinduism,REL
HIP,Hip Hop,ART
HIS,History,HIS
HIV,HIV/AIDS,HEA
