widget_name,description,arguments,key_words
attended_event,Lists entities who have participated in (an) event(s),activity code(s),"event, activity, attended, participated"
has_reunion_year,Lists entities with given reunion year(s),reunion year(s),"class campaign year, reunion, graduation year, class, alumni"
gave_to_area,Lists entities who gave to specific areas with minimum giving and specific date range,"area(s) of giving, minimum total giving, begin date, end date","area of giving, area, unit, giving, donor"
has_affiliation,Lists entities with (an) affiliation(s),affiliation code(s),affiliation
has_capacity,Lists entities with capacity ratings,capacity rating code(s),"capacity, rating, rated"
has_degree_from,Lists entities with degrees from specific school(s),school code(s),"degree, college, school, attended"
has_implied_capacity,Lists entities with implied capacity ratings,likelihood,"implied capacity, predictive model, capacity, likelihood"
has_interest,Lists entities with interest(s),interest code(s),interest
has_major_gift_score,Lists entities with major gift scores,likelihood,"major gift score, predictive model"
has_philanthropic_affinity,Lists entities with philanthropic affinity(ies),"organization type(s), minimum gift amount","philanthropic affinity, giving, interest, charitable giving"
in_unit_portfolio,Lists entities with proposals assigned to certain unit(s),"unit(s), include inactive (default is no)","proposals, assignments, portfolio, office, unit"
lives_in_county,Lists entities who live in (a) certain county(ies),county(ies),"address, county, home, lives"
lives_in_msa,Lists entities who live in (a) certain MSA(s),MSA(s),"address, MSA, geo code, home, lives"
lives_in_zip,Lists entities who live in (a) certain zip code(s),zip code(s),"address, zip, zip code, home, lives"
on_committee,Lists entities who are on/have been on committee(s),"committee code(s), status","committee, member"
participated_in,Lists entities who participated in (a) student activity(s),"student activity code, participation code","student activity, clubs, participated"
played_sport,Lists entities who played (a) sport(s),sport code(s),"sports, athlete"
received_award,Lists entities who received (an) award(s),award(s),"award, honor, won, received"
works_in_county,Lists entities who work in (a) certain county(ies),county(ies),"address, county, work, business"
works_in_msa,Lists entities who work in (a) certain MSA(s),MSA(s),"address, MSA, geo code, work, business"
works_in_zip,Lists entities who work in (a) certain zip code(s),zip code(s),"address, zip, zip code,work, business"
majored_in,Lists entities who graduated with specific major(s),major code(s),"major, college, school degree, attended, academic"
contact_text_contains,Contact reports that contain the specified search string(s),search string(s),"contact report, text, finder, contact, visit, call"
gave_to_department,Lists entities who gave to specific departments with minimum giving and specific date range,"department(s) of giving, minimum total giving, begin date, end date","department of giving, department, giving, donor"
